episode_id,season,episode_num,topic_00,topic_01,topic_02,topic_03,topic_04,topic_05,topic_06,topic_07,topic_08,topic_09,dominant_topic,dominant_topic_label,topic_00_smooth,topic_01_smooth,topic_02_smooth,topic_03_smooth,topic_04_smooth,topic_05_smooth,topic_06_smooth,topic_07_smooth,topic_08_smooth,topic_09_smooth
S06E14,6,14,0.0001,0.0001,0.0001,0.0001,0.2573,0.3477,0.0001,0.0001,0.0001,0.3946,9,"Topic 9: gonna, oliver, nathan",0.0001,0.0001,0.0001,0.0001,0.3354,0.3298,0.0001,0.0001,0.0001,0.3344
S06E15,6,15,0.0001,0.0001,0.0001,0.0001,0.5978,0.2773,0.0001,0.0001,0.0001,0.1245,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.4356,0.3144,0.0001,0.0001,0.0001,0.2496
S06E16,6,16,0.0001,0.0001,0.0001,0.0001,0.4516,0.3183,0.0001,0.0001,0.0001,0.2298,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0186,0.5553,0.2995,0.0001,0.0001,0.0001,0.1263
S07E01,7,1,0.0001,0.0001,0.0001,0.0556,0.6166,0.303,0.0001,0.0001,0.0001,0.0246,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0186,0.5786,0.304,0.0001,0.0001,0.0001,0.0986
S07E02,7,2,0.0001,0.0001,0.0001,0.0001,0.6677,0.2906,0.0001,0.0001,0.0001,0.0413,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0276,0.6294,0.2991,0.0001,0.0001,0.0001,0.0437
S07E03,7,3,0.0001,0.0001,0.0001,0.0271,0.6038,0.3036,0.0001,0.0001,0.0001,0.0652,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0257,0.6081,0.311,0.0001,0.0001,0.0001,0.0549
S07E04,7,4,0.0001,0.0001,0.0001,0.05,0.5527,0.3387,0.0001,0.0001,0.0001,0.0582,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0257,0.4634,0.3166,0.0001,0.0001,0.0001,0.1939
S07E05,7,5,0.0001,0.0001,0.0001,0.0001,0.2338,0.3076,0.0001,0.0001,0.0001,0.4582,9,"Topic 9: gonna, oliver, nathan",0.0001,0.0001,0.0001,0.0829,0.386,0.3472,0.0001,0.0007,0.0001,0.1829
S07E06,7,6,0.0001,0.0001,0.0001,0.1987,0.3715,0.3954,0.0001,0.0018,0.0001,0.0324,5,"Topic 5: gonna, samantha, faye",0.0001,0.0001,0.0001,0.2097,0.285,0.3409,0.0001,0.0007,0.0001,0.1636
S07E07,7,7,0.0001,0.0001,0.0001,0.4302,0.2497,0.3197,0.0001,0.0001,0.0001,0.0001,3,"Topic 3: gonna, gibbs, bratton",0.0001,0.0001,0.0001,0.3631,0.2153,0.4098,0.0001,0.0007,0.0001,0.0109
S07E08,7,8,0.0001,0.0001,0.0001,0.4604,0.0248,0.5144,0.0001,0.0001,0.0001,0.0001,5,"Topic 5: gonna, samantha, faye",0.0001,0.0001,0.0001,0.2969,0.3101,0.3927,0.0001,0.0001,0.0001,0.0001
S07E09,7,9,0.0,0.0,0.0,0.0,0.6557,0.3439,0.0,0.0,0.0,0.0,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.1569,0.4108,0.4067,0.0001,0.0001,0.0001,0.0252
S07E10,7,10,0.0001,0.0001,0.0001,0.0104,0.552,0.3617,0.0001,0.0001,0.0001,0.0756,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0084,0.6273,0.3361,0.0001,0.0001,0.0001,0.0277
S07E11,7,11,0.0001,0.0001,0.0001,0.0149,0.6743,0.3028,0.0001,0.0001,0.0001,0.0076,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0085,0.6309,0.3149,0.0001,0.0001,0.0001,0.0453
S07E12,7,12,0.0001,0.0001,0.0001,0.0001,0.6665,0.2802,0.0001,0.0001,0.0001,0.0528,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0534,0.6265,0.2996,0.0001,0.0001,0.0001,0.0202
S07E13,7,13,0.0001,0.0001,0.0001,0.1451,0.5386,0.3159,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0023,0.0001,0.0001,0.0484,0.6099,0.3007,0.0001,0.0001,0.0001,0.0384
