episode_id,season,episode_num,character,influence_score,influence_rank,rank_change,influence_smooth
S02E15,2,15,Harvey Specter,0.477143,1,0,0.452531
S02E15,2,15,Jessica Pearson,0.356167,2,-2,0.351137
S02E15,2,15,Daniel Hardman,0.313191,3,-4,0.267702
S02E15,2,15,Rachel Zane,0.279491,4,-1,0.169632
S02E15,2,15,Katrina Bennett,0.242442,5,-2,0.198756
S02E15,2,15,Dana Scott,0.200841,6,3,0.144279
S02E15,2,15,Mike Ross,0.174875,7,1,0.184526
S02E15,2,15,Louis Litt,0.149691,8,6,0.221819
S02E15,2,15,Sheila Sazs,0.121781,9,2,0.107241
S02E15,2,15,Donna Paulsen,0.002857,10,1,0.088408
S02E15,2,15,Harold Gunderson,0.002857,10,-3,0.079218
S02E15,2,15,Norma,0.002857,10,1,0.004324
S02E16,2,16,Harvey Specter,0.50099,1,0,0.500287
S02E16,2,16,Louis Litt,0.260454,2,-2,0.179232
S02E16,2,16,Dana Scott,0.228934,3,-3,0.17752
S02E16,2,16,Jessica Pearson,0.211982,4,2,0.288633
S02E16,2,16,Rachel Zane,0.17794,5,-2,0.168295
S02E16,2,16,Mike Ross,0.17497,6,3,0.166703
S02E16,2,16,Daniel Hardman,0.110454,7,-2,0.143488
S02E16,2,16,Sheila Sazs,0.110454,7,2,0.134749
S02E16,2,16,Donna Paulsen,0.107483,9,5,0.079297
S02E16,2,16,Zoe Lawford,0.046255,10,0,0.058251
S02E16,2,16,Robert Zane,0.005941,11,4,0.028022
S02E16,2,16,Trevor Evans,0.005941,11,8,0.096871
S02E16,2,16,Harold Gunderson,0.00297,13,5,0.016407
S03E01,3,1,Harvey Specter,0.522727,1,0,0.507527
S03E01,3,1,Jessica Pearson,0.29775,2,-2,0.25757
S03E01,3,1,Mike Ross,0.150264,3,0,0.233758
S03E01,3,1,Donna Paulsen,0.12755,4,-1,0.138413
S03E01,3,1,Louis Litt,0.12755,4,2,0.256449
S03E01,3,1,Dana Scott,0.102785,6,2,0.182517
S03E01,3,1,Rachel Zane,0.047453,7,1,0.113615
S03E01,3,1,Benjamin,0.044044,8,-2,0.03726
S03E01,3,1,Daniel Hardman,0.006818,9,1,0.04048
S03E01,3,1,Norma,0.006818,9,0,0.004196
S03E02,3,2,Harvey Specter,0.498863,1,0,0.520465
S03E02,3,2,Louis Litt,0.381344,2,-1,0.231553
S03E02,3,2,Mike Ross,0.376041,3,1,0.254795
S03E02,3,2,Jessica Pearson,0.262979,4,-3,0.227934
S03E02,3,2,Donna Paulsen,0.180205,5,0,0.150457
S03E02,3,2,Rachel Zane,0.115453,6,0,0.096297
S03E02,3,2,Katrina Bennett,0.005114,7,4,0.14444
S03E02,3,2,Esther Litt,0.003409,8,1,0.00404
S03E02,3,2,Jack Soloff,0.001705,9,1,0.014508
S03E03,3,3,Harvey Specter,0.539806,1,-1,0.514124
S03E03,3,3,Mike Ross,0.238081,2,-2,0.273449
S03E03,3,3,Katrina Bennett,0.185765,3,-2,0.11586
S03E03,3,3,Louis Litt,0.185765,3,2,0.358172
S03E03,3,3,Donna Paulsen,0.143616,5,-2,0.109175
S03E03,3,3,Rachel Zane,0.125985,6,0,0.098998
S03E03,3,3,Jessica Pearson,0.123073,7,4,0.19866
S03E03,3,3,Harold Gunderson,0.043393,8,2,0.08525
S03E03,3,3,Norma,0.002913,9,1,0.035117
S03E04,3,4,Louis Litt,0.507407,1,-5,0.272031
S03E04,3,4,Harvey Specter,0.503704,2,1,0.513114
S03E04,3,4,Jessica Pearson,0.209929,3,-2,0.153364
S03E04,3,4,Mike Ross,0.206225,4,2,0.299581
S03E04,3,4,Katrina Bennett,0.1567,5,-3,0.115544
S03E04,3,4,Rachel Zane,0.055555,6,2,0.128025
S03E04,3,4,Donna Paulsen,0.003704,7,4,0.174246
S03E04,3,4,Jenny Griffith,0.003704,7,-3,0.04789
S03E05,3,5,Harvey Specter,0.495833,1,0,0.513571
S03E05,3,5,Mike Ross,0.454437,2,-2,0.270186
S03E05,3,5,Donna Paulsen,0.375417,3,1,0.225297
S03E05,3,5,Rachel Zane,0.202534,4,-2,0.10799
S03E05,3,5,Jessica Pearson,0.127089,5,0,0.149536
S03E05,3,5,Louis Litt,0.122922,6,-1,0.21207
S03E05,3,5,Robert Zane,0.071809,7,0,0.051514
S03E05,3,5,Daniel Hardman,0.004167,8,1,0.005622
S03E05,3,5,Katrina Bennett,0.004167,8,-1,0.054612
S03E06,3,6,Harvey Specter,0.541176,1,0,0.504746
S03E06,3,6,Donna Paulsen,0.29677,2,-3,0.310349
S03E06,3,6,Trevor Evans,0.183465,3,-6,0.066166
S03E06,3,6,Mike Ross,0.149897,4,-3,0.244512
S03E06,3,6,Jessica Pearson,0.11159,5,1,0.173445
S03E06,3,6,Rachel Zane,0.06588,6,3,0.193608
S03E06,3,6,Daniel Hardman,0.005882,7,-2,0.00434
S03E06,3,6,Esther Litt,0.005882,7,-2,0.004867
S03E06,3,6,Louis Litt,0.005882,7,5,0.191663
S03E07,3,7,Harvey Specter,0.477228,1,0,0.506135
S03E07,3,7,Louis Litt,0.446186,2,0,0.268065
S03E07,3,7,Rachel Zane,0.312411,3,-2,0.177331
S03E07,3,7,Jessica Pearson,0.281657,4,-2,0.169186
S03E07,3,7,Donna Paulsen,0.258859,5,1,0.247917
S03E07,3,7,Harold Gunderson,0.209388,6,4,0.201636
S03E07,3,7,Mike Ross,0.129203,7,0,0.0947
S03E07,3,7,Norma,0.09562,8,1,0.034511
S03E07,3,7,Daniel Hardman,0.00297,9,0,0.004786
S03E07,3,7,Katrina Bennett,0.00297,9,0,0.004214
S03E08,3,8,Harvey Specter,0.5,1,0,0.487516
