episode_id,season,episode_num,character,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree,mention_volume_share,sentiment_control_raw,pagerank_norm,sentiment_control_norm,influence_score,influence_rank
S02E04,2,4,Mike Ross,1.0,0.0,0.378277,0.130112,66.043,0.111111,0.21025573979591838,0.5232694802413924,0.0,0.242641,3
S02E04,2,4,Daniel Hardman,1.0,0.0,0.329507,0.11365,56.622,0.1,0.21025573979591838,0.40738315693872595,0.0,0.192953,4
S02E04,2,4,Donna Paulsen,1.0,0.0,0.329507,0.11365,56.622,0.077778,0.21025573979591838,0.40738315693872595,0.0,0.186287,5
S02E04,2,4,Jessica Pearson,1.0,0.0,0.228229,0.08253,38.65,0.055556,0.21025573979591838,0.18830999564732884,0.0,0.091991,6
S02E04,2,4,Harold Gunderson,1.0,0.0,0.228229,0.08253,38.65,0.033333,0.21025573979591838,0.18830999564732884,0.0,0.085324,7
S02E04,2,4,Jenny Griffith,1.0,0.357143,0.135705,0.05578,23.047,0.011111,0.21025573979591838,0.0,0.0,0.003333,8
S02E04,2,4,Thomas Kessler,1.0,0.357143,0.135705,0.05578,23.047,0.011111,0.21025573979591838,0.0,0.0,0.003333,8
S02E05,2,5,Harvey Specter,1.0,0.0,0.584687,0.241003,100.422,0.532609,0.20211130952380954,0.9999999944360677,0.0,0.559783,1
S02E05,2,5,Donna Paulsen,1.0,0.0,0.504157,0.179485,73.973,0.217391,0.20211130952380954,0.6577180051203868,0.0,0.328305,2
S02E05,2,5,Jessica Pearson,1.0,0.0,0.347136,0.119196,47.101,0.097826,0.20211130952380954,0.3222740886430454,0.0,0.158257,3
S02E05,2,5,Louis Litt,1.0,0.0,0.347136,0.119196,47.101,0.065217,0.20211130952380954,0.3222740886430454,0.0,0.148475,4
S02E05,2,5,Daniel Hardman,1.0,0.0,0.214169,0.078648,28.658,0.032609,0.20211130952380954,0.0966677603688455,0.0,0.04845,5
S02E05,2,5,Mike Ross,1.0,0.0,0.214169,0.078648,28.658,0.021739,0.20211130952380954,0.0966677603688455,0.0,0.045189,6
S02E05,2,5,Harold Gunderson,1.0,0.119048,0.154083,0.061274,20.678,0.01087,0.20211130952380954,0.0,0.0,0.003261,7
S02E05,2,5,Norma,1.0,0.119048,0.154083,0.061274,20.678,0.01087,0.20211130952380954,0.0,0.0,0.003261,7
S02E05,2,5,Rachel Zane,1.0,0.119048,0.154083,0.061274,20.678,0.01087,0.20211130952380954,0.0,0.0,0.003261,7
S02E06,2,6,Louis Litt,1.0,0.0,0.443631,0.147814,71.09,0.246377,0.19001452442159383,0.9999999892304049,0.0,0.473913,1
S02E06,2,6,Harvey Specter,1.0,0.0,0.423839,0.139554,66.778,0.202899,0.19001452442159383,0.9110431331871204,0.0,0.425287,2
S02E06,2,6,Daniel Hardman,1.0,0.0,0.3518,0.113687,53.168,0.115942,0.19001452442159383,0.6324660151154929,0.0,0.287769,3
S02E06,2,6,Donna Paulsen,1.0,0.0,0.331455,0.107151,49.704,0.101449,0.19001452442159383,0.5620759411325743,0.0,0.255265,4
S02E06,2,6,Jessica Pearson,1.0,0.0,0.308015,0.099899,45.851,0.101449,0.19001452442159383,0.4839748370132161,0.0,0.224025,5
S02E06,2,6,Harold Gunderson,1.0,0.0,0.308015,0.099899,45.851,0.072464,0.19001452442159383,0.4839748370132161,0.0,0.215329,6
S02E06,2,6,Mike Ross,1.0,0.0,0.308015,0.099899,45.851,0.072464,0.19001452442159383,0.4839748370132161,0.0,0.215329,6
S02E06,2,6,Rachel Zane,1.0,0.0,0.247485,0.082176,36.389,0.057971,0.19001452442159383,0.29310530194600876,0.0,0.134633,8
S02E06,2,6,Thomas Kessler,1.0,0.347222,0.148421,0.05496,21.741,0.014493,0.19001452442159383,0.0,0.0,0.004348,9
S02E06,2,6,Zoe Lawford,1.0,0.347222,0.148421,0.05496,21.741,0.014493,0.19001452442159383,0.0,0.0,0.004348,9
S02E07,2,7,Harvey Specter,1.0,0.0,0.556609,0.228489,151.719,0.456522,0.20537774687065366,0.999999993772303,0.0,0.536957,1
S02E07,2,7,Donna Paulsen,1.0,0.0,0.405672,0.145516,93.331,0.137681,0.20537774687065366,0.4832692888389126,0.0,0.234612,2
S02E07,2,7,Louis Litt,1.0,0.0,0.386703,0.138493,88.27,0.123188,0.20537774687065366,0.4395321726595868,0.0,0.212769,3
S02E07,2,7,Jessica Pearson,1.0,0.0,0.364971,0.130765,82.684,0.108696,0.20537774687065366,0.3914045300803713,0.0,0.189171,4
S02E07,2,7,Daniel Hardman,1.0,0.0,0.352861,0.126582,79.653,0.086957,0.20537774687065366,0.3653540734410264,0.0,0.172229,5
S02E07,2,7,Mike Ross,1.0,0.0,0.252774,0.094324,56.118,0.043478,0.20537774687065366,0.16446102293373718,0.0,0.078828,6
S02E07,2,7,Rachel Zane,1.0,0.285714,0.165027,0.067916,36.654,0.028986,0.20537774687065366,0.0,0.0,0.008696,7
S02E07,2,7,Zoe Lawford,1.0,0.285714,0.165027,0.067916,36.654,0.014493,0.20537774687065366,0.0,0.0,0.004348,8
S02E08,2,8,Jessica Pearson,1.0,0.0,0.426636,0.126148,121.254,0.214286,0.19258598265895951,0.9999999883908568,0.0,0.464286,1
